Código,Familia,Materia,Analfabeta,Básica,Media,Superior ,Sin información,sexo
811,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Abigeato,1,37,108,1,9,Hombres
812,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Receptación,13,779,2833,112,315,Hombres
814,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Destrucción o alteración de deslindes,0,0,0,0,0,Hombres
816,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Estafas y otras defraudaciones contra particulares,2,49,339,74,33,Hombres
817,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usura,0,0,30,1,14,Hombres
821,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de hallazgo,1,26,96,14,7,Hombres
825,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Infracción artículo 454,1,169,216,1,12,Hombres
826,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto agravado,1,23,316,24,24,Hombres
827,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con homicidio,0,0,3,0,2,Hombres
828,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con violación,0,0,10,0,1,Hombres
829,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,"Robo con castración, mutilación o lesiones graves gravísimas",0,1,0,0,0,Hombres
831,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo de vehículo motorizado,0,82,304,1,38,Hombres
832,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Portar elementos conocidamente destinados a cometer delito de robo,2,369,1645,40,208,Hombres
833,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación violenta de inmueble,0,2,23,5,2,Hombres
834,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación de inmueble no violenta sin daños a las cosas,0,19,60,5,19,Hombres
836,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación de aguas,0,0,6,2,1,Hombres
838,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio con resultado de muerte y/o lesiones,0,0,6,0,1,Hombres
839,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Otros estragos,0,0,0,0,0,Hombres
840,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños simples,17,627,2832,295,326,Hombres
841,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños calificados,1,25,141,23,15,Hombres
846,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor sobre 40 UTM,1,59,202,3,32,Hombres
847,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de 4 a 40 UTM,9,551,2042,137,273,Hombres
848,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de media a menos de 4 UTM,7,807,2927,212,295,Hombres
849,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Apropiación de cables de tendido eléctrico o de comunicaciones,1,7,19,0,1,Hombres
851,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio de bosques,0,3,9,1,0,Hombres
853,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de bienes pertenecientes a redes de suministro público,0,10,48,3,1,Hombres
854,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio con peligro para las personas,0,9,44,1,5,Hombres
855,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio solo con daños o sin peligro de propagación,4,61,89,13,9,Hombres
856,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Apropiación indebida,0,39,264,48,19,Hombres
858,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con fuerza de cajeros automáticos,0,1,0,0,1,Hombres
861,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con lesiones graves,0,2,1,0,0,Hombres
862,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con retención de víctimas o lesiones graves,0,1,23,0,0,Hombres
864,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Receptación cometida por persona jurídica,0,1,0,1,0,Hombres
867,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,"Robo de vehículo motorizado por sorpresa, violencia o intimidación",0,91,314,3,88,Hombres
868,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo de vehículo utilizando elementos distractivos,0,0,1,0,0,Hombres
869,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Receptación de vehículos motorizados,13,977,5427,424,802,Hombres
871,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto con ocasión de calamidad o alteración al orden público,0,0,1,0,0,Hombres
877,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Porte de elementos para provocar incendio o estragos,1,1,2,0,1,Hombres
891,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Sustracción de madera,1,187,469,13,29,Hombres
892,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Sustracción de madera. Persona jurídica,0,8,17,0,0,Hombres
896,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Posesión o tenencia ilegítima de madera,0,2,5,1,0,Hombres
899,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Otros delitos contra la propiedad,9,644,1591,37,175,Hombres
901,DE LOS CUASIDELITOS,Cuasidelito de lesiones,1,314,3061,760,137,Hombres
905,DE LOS CUASIDELITOS,Cuasidelito de homicidio,1,16,108,35,7,Hombres
910,DE LOS CUASIDELITOS,Cuasidelito de lesiones cometido por profesionales de la salud,0,0,0,1,0,Hombres
999,DE LOS CUASIDELITOS,Otros de los cuasidelitos,0,13,124,23,4,Hombres
1002,HECHOS DE RELEVANCIA CRIMINAL,Muertes y hallazgo de cadáver,0,1,1,1,1,Hombres
1006,HECHOS DE RELEVANCIA CRIMINAL,Hallazgo de vehículo,0,3,10,1,2,Hombres
1018,HECHOS DE RELEVANCIA CRIMINAL,Hallazgo de drogas,0,8,18,1,2,Hombres
1099,HECHOS DE RELEVANCIA CRIMINAL,Otros hechos que no constituyan delito/3,11,610,2123,69,245,Hombres
2005,DELITOS INFORMÁTICOS,Acceso ilícito,0,1,0,0,0,Hombres
3099,LEY GENERAL DE BANCOS,Otros delitos Ley General de Bancos,0,0,1,0,0,Hombres
4099,LEY DE CUENTAS CORRIENTES BANCARIAS Y CHEQUES,Otros delitos Ley de Cuentas Corrientes Bancarias y Cheques,0,0,1,0,0,Hombres
