Código,Familia,Materia,Sexo,Chilena,Venezolana,Colombiana,Boliviana,Peruana,Haitiana,Ecuatoriana,Argentina,Dominicana,Otras nacionalidades,Sin información
720,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Femicidio íntimo,Hombres,19,2,0,1,0,0,0,0,0,0,0
721,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Tráfico de migrantes,Hombres,10,2,1,18,0,0,0,0,0,0,0
722,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Tráfico de migrantes cometidos por funcionario público,Hombres,0,0,0,2,0,0,0,0,0,0,0
723,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Trata de personas para la explotación sexual,Hombres,1,0,0,0,0,0,0,0,0,0,0
725,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Asociación ilícita para tráfico de migrantes y/o trata de personas,Hombres,0,0,0,1,0,0,0,0,0,0,0
727,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Trata de personas para trabajos forzados y otros,Hombres,1,0,0,0,0,0,0,0,0,0,0
763,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Maltrato corporal a menores o personas vulnerables,Hombres,52,3,0,2,2,0,2,0,0,0,0
764,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Maltrato cometido por persona con deber de cuidado,Hombres,1,0,0,0,0,0,0,0,0,0,0
765,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Tratos degradantes a personas vulnerables,Hombres,5,0,0,0,0,0,0,0,0,0,0
767,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Lesiones graves y menos graves a miembros de bomberos en el ejercicio de sus funciones,Hombres,1,0,0,0,0,0,0,0,0,0,0
799,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Otros delitos contra las personas,Hombres,409,12,6,6,6,7,1,2,0,1,1
13001,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Lesiones leves,Hombres,27578,987,626,620,505,202,132,50,24,119,65
802,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con intimidación,Hombres,2586,214,132,14,47,10,22,4,3,10,12
803,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con violencia,Hombres,2300,182,127,20,39,3,19,4,7,3,22
804,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo por sorpresa,Hombres,1732,174,80,11,57,5,17,2,2,6,6
806,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Extorsión,Hombres,7,0,0,0,0,0,0,0,0,0,0
808,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo en bienes nacionales de uso público o sitios no destinados a habitación,Hombres,2685,87,36,21,20,1,4,1,4,15,4
809,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo en lugar habitado,Hombres,2385,39,24,13,11,2,4,3,1,3,2
810,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo en lugar no habitado,Hombres,4726,113,74,23,18,7,10,8,2,8,9
811,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Abigeato,Hombres,156,0,0,0,0,0,0,0,0,0,0
812,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Receptación,Hombres,3474,242,108,45,96,18,26,6,11,9,17
814,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Destrucción o alteración de deslindes,Hombres,0,0,0,0,0,0,0,0,0,0,0
816,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Estafas y otras defraudaciones contra particulares,Hombres,437,23,13,4,12,0,1,1,0,3,3
817,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usura,Hombres,5,1,33,0,0,0,0,0,0,3,3
821,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de hallazgo,Hombres,127,9,6,0,2,0,0,0,0,0,0
825,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Infracción artículo 454,Hombres,360,22,11,4,1,0,0,0,1,0,0
826,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto agravado,Hombres,352,16,6,5,2,1,4,1,0,1,0
827,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con homicidio,Hombres,3,2,0,0,0,0,0,0,0,0,0
828,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con violación,Hombres,9,1,1,0,0,0,0,0,0,0,0
829,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,"Robo con castración, mutilación o lesiones graves gravísimas",Hombres,1,0,0,0,0,0,0,0,0,0,0
831,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo de vehículo motorizado,Hombres,412,5,2,5,0,0,0,1,0,0,0
832,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Portar elementos conocidamente destinados a cometer delito de robo,Hombres,2073,71,45,22,32,4,9,1,1,6,0
833,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación violenta de inmueble,Hombres,29,1,0,0,2,0,0,0,0,0,0
834,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación de inmueble no violenta sin daños a las cosas,Hombres,99,4,0,0,0,0,0,0,0,0,0
836,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación de aguas,Hombres,9,0,0,0,0,0,0,0,0,0,0
